City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Lima,-12.0432,-77.0282,71.85,73,0,17.27,clear sky
279,Chernyshevskiy,63.0128,112.4714,-16.55,90,100,4.74,overcast clouds
280,Narodychi,51.2029,29.0823,21.16,99,90,4.76,overcast clouds
281,Haines Junction,60.7522,-137.5108,-10.44,98,100,2.21,light snow
282,Flin Flon,54.7682,-101.865,-13.77,87,10,10.65,clear sky
283,Los Llanos De Aridane,28.6585,-17.9182,67.75,28,0,13.0,clear sky
284,Sokoto,13.0609,5.239,66.78,20,0,14.58,clear sky
285,Mastung,29.7994,66.845,33.82,82,6,2.21,clear sky
286,New Baltimore,42.6811,-82.7369,20.07,61,0,17.27,clear sky
287,Iquique,-20.2208,-70.1431,71.64,79,54,0.69,broken clouds
288,Tecoanapa,16.5167,-98.75,78.28,73,91,5.77,overcast clouds
289,Kamenka,51.3223,42.7678,22.75,83,100,14.2,overcast clouds
290,Vicosa,-20.7539,-42.8819,66.56,99,100,1.61,overcast clouds
291,Matara,5.9485,80.5353,74.52,91,100,8.97,overcast clouds
292,Atikokan,48.7555,-91.6216,-12.32,89,100,10.65,overcast clouds
293,Bambous Virieux,-20.3428,57.7575,77.22,80,77,9.69,light rain
294,Trelew,-43.249,-65.3051,68.25,49,9,7.31,clear sky
295,San Patricio,28.017,-97.5169,66.18,59,100,19.89,overcast clouds
296,Chicama,-7.8447,-79.1469,66.74,74,8,5.53,clear sky
297,Taruma,-22.7467,-50.5772,63.09,88,15,6.15,few clouds
298,Clyde River,70.4692,-68.5914,-18.11,96,100,6.71,overcast clouds
299,Arman,59.7,150.1667,16.02,82,100,9.53,overcast clouds
300,Ajdabiya,30.7554,20.2263,57.97,56,100,20.87,overcast clouds
301,Camacha,33.0833,-16.3333,60.22,88,40,10.36,scattered clouds
302,Zhigansk,66.7697,123.3711,-28.89,95,100,20.49,overcast clouds
303,Duncan,34.5023,-97.9578,38.35,42,0,13.8,clear sky
304,Arona,28.0996,-16.681,63.81,21,40,13.8,scattered clouds
305,Ndungu,-4.3667,38.05,69.89,82,81,2.82,broken clouds
306,Kalmunai,7.4167,81.8167,75.72,89,100,3.98,overcast clouds
307,Yola,9.2,12.4833,71.17,28,12,0.69,few clouds
308,Bengkulu,-3.8004,102.2655,80.74,77,42,1.16,moderate rain
309,Margate,51.3813,1.3862,37.89,83,11,4.54,few clouds
310,Malanje,-9.5402,16.341,63.43,98,100,3.53,overcast clouds
311,Pangnirtung,66.1451,-65.7125,-25.55,87,62,5.75,broken clouds
312,Troitsko-Pechorsk,62.7084,56.1964,13.87,94,100,7.49,light snow
313,Vincennes,48.85,2.4333,40.93,96,0,3.44,mist
314,Bonthe,7.5264,-12.505,79.03,85,19,4.88,light rain
315,Shunyi,40.125,116.6453,31.95,51,0,4.47,clear sky
316,Tessalit,20.1986,1.0114,56.32,20,25,10.74,scattered clouds
317,Murowana Goslina,52.5746,17.0093,25.92,94,100,6.51,overcast clouds
318,Zheleznodorozhnyy,55.7503,38.0042,21.22,97,100,4.12,snow
319,Lasa,46.6166,10.7002,25.36,82,97,4.94,overcast clouds
320,Lakes Entrance,-37.8811,147.981,88.57,69,12,8.5,few clouds
321,Cantanhede,-3.6333,-44.3767,73.2,95,100,2.98,light rain
322,Redmond,47.674,-122.1215,45.48,83,72,4.0,broken clouds
323,Seydi,39.4816,62.9137,36.81,76,26,7.05,scattered clouds
324,Shelabolikha,53.4131,82.6167,17.06,95,98,8.32,overcast clouds
325,Namibe,-15.1961,12.1522,65.01,79,37,4.25,scattered clouds
326,Pedasi,7.5333,-80.0333,75.07,77,4,17.78,clear sky
327,Olinda,-8.0089,-34.8553,80.33,83,40,9.22,scattered clouds
328,Jutai,-5.1833,-68.9,73.85,95,100,2.28,overcast clouds
329,Kirakira,-10.4544,161.9205,85.59,71,48,11.48,scattered clouds
330,Yantongshan,43.2919,126.0094,11.25,86,100,4.72,light snow
331,Manbij,36.5281,37.9549,45.37,74,78,7.27,broken clouds
332,Tiznit,29.5833,-9.5,54.19,30,59,4.14,broken clouds
333,Touros,-5.1989,-35.4608,77.9,76,99,11.03,overcast clouds
334,Zeya,53.75,127.2667,-7.31,66,100,2.73,overcast clouds
335,Bilma,18.6853,12.9164,49.1,27,2,11.16,clear sky
336,Boden,65.8252,21.6886,-7.6,98,85,2.59,overcast clouds
337,Angoche,-16.2325,39.9086,73.08,96,100,13.42,heavy intensity rain
338,Lembeni,-3.7833,37.6167,64.98,82,98,3.33,overcast clouds
339,Saint-Georges,12.0564,-61.7485,73.08,88,20,9.22,few clouds
340,Punta De Piedra,7.6176,-71.4916,77.83,60,82,3.15,broken clouds
341,Odweyne,9.4092,45.064,61.45,51,1,2.1,clear sky
342,Ixtapa,20.7,-105.2,72.23,88,0,0.0,clear sky
343,At-Bashi,41.1702,75.8106,0.43,71,19,3.24,few clouds
344,Abu Samrah,35.3029,37.1841,49.03,73,1,7.25,clear sky
345,Rosarito,32.3333,-117.0333,64.24,58,1,2.62,clear sky
346,Poum,-20.2333,164.0167,82.4,72,18,8.63,few clouds
347,Duluth,46.7833,-92.1066,-2.7,56,100,1.01,overcast clouds
348,Noumea,-22.2763,166.4572,85.98,99,56,18.92,broken clouds
349,Kahului,20.8947,-156.47,81.66,70,40,6.91,scattered clouds
350,Aracati,-4.5617,-37.7697,80.55,75,100,10.54,overcast clouds
351,Lages,-27.8161,-50.3261,57.11,96,100,4.05,overcast clouds
352,Kautokeino,69.0125,23.0412,-9.8,100,55,2.73,broken clouds
353,Tanggul,-8.1645,113.4525,85.23,69,88,1.01,overcast clouds
354,Lubumbashi,-11.6609,27.4794,62.04,99,87,3.65,overcast clouds
355,Pustoshka,56.3355,29.369,16.45,98,100,3.89,overcast clouds
356,Dongsheng,39.8161,109.9776,15.15,36,0,14.47,clear sky
357,Valparaiso,-33.0393,-71.6273,66.47,74,75,5.75,broken clouds
358,Gidole,5.65,37.3667,60.3,50,61,2.68,broken clouds
359,Verkhnyaya Inta,65.9811,60.3094,4.77,84,100,14.67,overcast clouds
360,Dzhankoy,45.7167,34.4,45.28,87,99,4.83,overcast clouds
361,Igarka,67.4667,86.5833,-3.53,99,97,6.53,overcast clouds
362,Susaki,33.3667,133.2833,53.62,53,0,2.26,clear sky
363,Nortelandia,-14.4547,-56.8028,72.75,95,100,3.78,overcast clouds
364,Manoharpur,27.3,75.95,45.55,80,0,3.44,clear sky
365,Namtsy,62.7161,129.6658,-41.69,99,60,1.77,broken clouds
366,Forestville,38.8451,-76.875,45.07,94,100,8.05,overcast clouds
367,Jishou,28.3167,109.7167,44.92,94,100,1.43,overcast clouds
368,Cabedelo,-6.9811,-34.8339,77.67,77,24,11.92,few clouds
369,Nichinan,31.6,131.3667,54.73,59,6,1.63,clear sky
370,Nikolskoye,59.7035,30.7861,24.69,100,94,2.77,overcast clouds
371,Risor,58.7206,9.2342,34.29,89,100,19.08,light snow
